Háblame del sol
Astérix la rosa y la espada
El mal trago de Obélix
Astérix en Bélgica
Asterix: ¡El cielo se nos cae encima!
Astérix: La gran zanja
La Odisea de Astérix
Astérix en la India
La cizaña
El escudo Arverno
Astérix legionario
Astérix y los normandos
Astérix en Bretaña
Astérix y el caldero
El combate de los jefes
Astérix y Cleopatra
La vuelta a la Galia de Astérix
Astérix  gladiador
Astérix y  los godos
La hoz de oro
Astérix el galo
La gran travesía
El regalo del César
Astérix en Córcega
Los laureles del César
El adivino
Colores
Familia
Diccionario Ilustrado
Números
Tamaños
Palabras
FORMAS
sentimientos
TAMAÑOS
NÚMEROS
DICCIONARIO ILUSTRADO
FAMILIA
COLORES
SENTIMIENTOS
PALABRAS
FORMAS
Los lápices mágicos
Un regalo para ti
VICENTE YA ES VALIENTE
Nubes para una fiesta
Antón sabe hacer magia
"vuela, mariquita"
"Me marcho, adiós!"
Ayudemos a Blancanieves
El hada aguayjabón
Mortadelo y Filemón
Mortadelo y Filemón
Olimpiadas del humor
Mortadelo y Filemón
Mortadelo y Filemón
Mortadelo y Filemón
Mortadelo y Filemón
Mortadelo y Filemón
Mortadelo y Filemón
Mortadelo y Filemón
Mortadelo y Filemón
Especial mundiales
Mortadelo y Filemón
Mortadelo y Filemón
Mortadelo y Filemón
Mortadelo y Filemón
El tesoro de Rackham el rojo
Tintín en el país del oro negro
Las 7 bolas de cristal
Objetivo
Pesca segura en el mar y en el río
Tintín en el Congo /
El templo del sol
Las aventuras de Tintín . 3
Aterrizaje en la luna
Stock de coque
Tintín y los 'pícaros'
Las aventuras de Tintín . 2
Vuelo 714 para Sidney
Las joyas de Castafiore
Tintín en el Tíbet
El cetro de Ottokar
Las aventuras de Tintín . 1
La oreja rota
El loto azul
Los cigarros del faraón
Tintín en América
La estrella misteriosa
El cangrejo de las pinzas de oro
El pirata Garrapata en la India
Marieta y los vikingos
El cisne negro
La rana mundana
El país de las cosas perdidas
El mejor detective del mundo
¡A mí qué me importa!
El abuelo de Pipa
Una boa en El Paraiso
El gigante que leyó El Quijote
Fray Perico y su borrico
Fray Perico de la Mancha
Compañero de sueños
Las tres piedras y otros cuentos
Edelmiro II y el dragón Gutiérrez
La bomba
Los chicos de la maraña
"El feo, el bobo y el malo"
"Ciprianus, gladiador romnus"
"Las vacaciones de Simón, Simón"
El monstruo de Jarama
Nieve de julio
El inspector Tigrili
El viaje de Nicolás
Cuentos para los que duermen con un ojo abierto
"Simón, Simón"
El pequeño Otto ha desaparecico
La Tierra del Oro Ardiente
El faraón Nari-zotas
Bárbara y el misterio de Ariadna
La magia del samurái
Marcelo Crecepelos
"Simón, Simón"
"Carlos Baza, 'Calabaza'"
Los cuentos de mi escuela
"Selim, el vendedor de alegría"
Te regalo a mi hermano
La sonrisa del ogro
Las aventuras del pequeño Colón
El gran viaje de Colón
Arturo / Verónica
Genio
Lobito aprende a ser malo
Potosnáguel
Tejemaneje y Estropajo
"Manu, detective"
El cocodrilo Juanorro
Soy... Jerónimo
El signo del crisantemo
"Fray Perico, Calcetín y el guerrillero Martín"
Fray Perico y Monpetit
Fray Perico y la primavera
Fray Perico en la paz
Fray Perico en la guerra
Fray Perico y la Navidad
El pirata Garrapata
El pirata Garrapata llega a pie al templo de Abu Simbel
El pirata Garrapata en China
El pirata Garrapata en Japón
El pirata Garrapata en Africa
El pirata Garrapata en los países subterráneos
El pirata Garrapata en tierras de Cleopatra
El pirata Garrapata en la Ciudad Prohibida de Pekín casi pierde el peluquín
El pirata Garrapata es faraón en tiempos de Tutankamón
El niño que nunca se reía
Los vestidos de Pancheta
Un conejo en el sombrero
Cocorota y compañía
El monstruo azul
Mauro Ojos Brillantes
El pirata que robó las estrellas
La bruja que no sabía reir
Los caracoles no tienen historias
Demonios en camiseta
Armengol el Salado
"¡Huy, qué miedo!"
La vaca Enriqueta esquía en Valcorneta
El enano Gumersindo y la princesa Noanín
El diario de Sito
La boda de tía Elvira
El niño que vino con el viento
La fragata de Juanchu
Los peines del viento
El pequeño tigre y el osito en la ciudad
El niño que pintó el mundo
Racataplám
El león destronado y otras nueve historias
Los cuentos de colores
Las aventuras de Pepe
Babi es Bárbara
¡Rayos y centellas!
Los extraños viajeros
Regreso a  Dachaid
El bosque de Morlan
El caballito que quería volar
Vacaciones en el paraíso
El mensajero del tiempo
La magia del cometa
Julie en el campo de fútbol
El fantasma de Canterville
Los Corredoiras
Max se dedica a la política
El gusano que pudo ser rey
Se busca novio principesco
¡Pobres animales!
Mi vecina es una bruja
Rana por un día
Vacas Guapas
Caperucita y la Abuela Feroz
La máquina cuentacuentos
Mehdi y las lunas del zoo
El otro sastrecillo
El Gigante Tragaceibas
El pirata 101
Patatas fritas
La escuela de los piratas
"Caballero o caballera, lo sabrás a la primera"
"Tadeo, aprendiz de pirata"
El misterio de la isla
El periódico de Landry
Las notas de Nora
El vendedor de agujeros
Fríndel
Los aretes de la luna
Basttián y la palabra mágica
Luna en el cafetal
Tortuga Número Cien
Catalina y el Hada de los Espejos
Las palabras que se lleva el viento
Pequeñajo Pérez
Tres vueltas al planeta
Lo de soñar
Dado Duende
Cuentos con-sentidos
He decidido llamarme Max
El duende y el robot
El gigante egoista
Manuel y Didí y la seta gigante
Madisú
Samovar
El famoso cohete
Crisantemo
La sombra del gran árbol
Compartimos ¡todo!
El príncipe azul
Prudencia se preocupa
El burrito que quería ser azul
El automóvil de mi abuelo
Marcelina y la noche de Halloween
"Ay, luna, luna, lunita"
"Tito, Tito"
Rana ranita
"JULIUS,EL REY DE LA CASA"
Javi
Owen
Prudencia se preocupa
¿Qué le pasa a Mugán?
Todo esto es sðlo mío
¡Qué desastre de flautista!
Una rica merienda
Un jarrón de la China
Correprisas yTumbona
Peligro en el mar
La jirafa Timotea
La historia de Dracolino
La primera Navidad de los animales
La rana Pascuala
Animales... son muchos y no son iguales
¿En qué se parecen un elefante y un gato?
¿Te gusta la lluvia?
Y ahora-- ¡el desayuno!
"Cuando crezca, quiero ser..."
El pájaro sabihondo
¡Qué hambre!
¿Quién ilumina la luna?
Me hago un sándwich
Mi gorrita
Los niños más encantadores del mundo
La maravillosa medicina de Jorge
La cuerda floja
Cuentos agridulces
Los secuestradores de burros
Los doce bandoleros
El hombre de hierro
Los niños más encantadores del mundo
Pánico con los lunares
La abuela
Pesadilla en Vancúver
Terror en Winnipeg
La abuela
El león Leopoldo
Kiwi
La familia animal
Ben quiere a Anna
"Dragón, dragón"
Kiwi
Una nutria preguntona
Aventuras en cuévas
Rey de los lobos
El vidente
Tobias y el fin del mundo y otros cuentos
¡Nos han robado la oreja!
Bala perdida
El terror de sexto 'B'
El verano de las cigüeñas
Imágenes para un retablo
Natacha
El mundo de Ilde
La sonrisa del arco iris
Júbilos
"APEX, LA GUERRA DE LAS HORAS"
La máquina maravillosa
La magia del samurái
Andanzas del Cid Campeador
Andanzas de don Quijote y Sancho
Brandabarbarán de Boliche
Mi amigo el Rey
El tren que nunca existió
La flor
Todos somos especiales
Burbujita sabe portarse bien
Los siete cabritillos y el lobo
Mi caballo
De  la A a la  Z con Mozart y la música
Las niñas del mundo
Quiero ser invisible
De la A a la Z con los cuentos
El Conejo de Terciopelo
Pedrín y la garza
"Naga, el pequeño sabio"
Té  con Leche
Los zapaticos de rosa
El gigante egoísta
"Papá, me echarás de menos?"
El reloj de mi abuela
Los Zapaticos de rosa
"Manu, detective"
Ahora somos tres
Ése no es mi zoo
Don Caracol Detective
Un puñado de miédos
El príncipe perdido
El calcetín del revés
Vacaciones en la cocina
Buldo
Tejemaneje y Estropajo
Papá y mamá son invisibles
Un año nada corriente
El gigante que leyó El Quijote
Mumú
Mao Tiang  Pelos Tiesos
Luisón
El rey Simplón
Te regalo a mi hermano
Los embrollos de Beny
Misi-Mus ha desaparecido
Noche de luna con gatos
La silla voladora
Buscando a Tana la orangutana
"Willy, la mosca"
"¡SOS, salvad al ratoncito Pérez!"
El cocodrilo Juanorro
A mí qué me importa!
Chachi
La sonrisa del ogro
Potosnáguel
El tesoro de caramujo
Guiñapo y Pelaplátano
Soy-- Jerónimo
El comisario Olegario
Historias de Sergio
Genio
"Lobito, detective forestal"
Pablo Diablo y la maldición de la momia
Pablo Diablo y la canguro infernal
Pablo Diablo y el dinero
Mini va al colegio
Mini va a esquiar
La venganza de Pablo Diablo
Mini va a la playa
"Mini, ama de casa"
Mini y el gato
Mini y su nuevo abuelo
Diario de hazañas de Lobito
Pablo Diablo y los fantasmas
Pablo Diablo y la Supermáquina del Tiempo
"Lobito, terror de los mares"
Pablo Diablo ve a la Reina
Mini no es una miedica
Pablo Diablo y los piojos
Los calzoncillos de Pablo Diablo
Mini en carnaval
Pablo Diablo y el club secreto
Pablo Diablo y el Ratón Pérez
Pablo Diablo y la bomba fétida
Mini entra en acción
Pablo Diablo
¡Mini es la mejor!
"Mini, detective"
Tenéis que hacer las paces
Mi 24 de diciembre
Manuel y Didí
El hombrecillo de papel
Manuel y Didí y la choza en el árbol
El lagarto soñador
El diplodoco Carioco
Cabello blanco en cabeza peluda
No hay sitio para Tarzán
El inspector Tigrili
El huevo prehistórico
Olock-Lolo
Los extraños vecinos del bajo B
¡Otra vez a Carabás!
Los aventureros
El coleccionista de estrellas
El pavo Facundo
Mi abuela la bruja
MNA
Marcelo Crecepelos
Las travesuras de Rosalía
La Tierra del Oro Ardiente
Donde vive el miedo
El pequeño Otto ha desaparecido
"Selim, el vendedor de alegría"
El osito de peluche y otros animales
Dos plumas de águila
La moneda de oro
Lo siento
La navidad de la cerdita Pepita
De la A a la Z con Don Quijote
Las niñas del mundo
El ciélo se está cayendo
"No, David!"
David va al colegio
Un extraño dolor de barriga
Regalos
"Adiós, Jonás"
David se mete en  líos
Cuando todos dormían
Aventura en la playa
"¿Quién soy, quién soy?"
31 usos para mamá
¿Te gusta la lluvia?
¿Quién ilumina la luna?
Las letras hablan
"Cuando crezca, quiero ser..."
¡Vamos todos a viajar!
La flor
El pájaro sabihondo
¡Qué hambre!
Hermana por sorpresa
31 usos para mamá
"¡Mío! ¡mío!, el huevo es mío"
Susto en la playa
¿Qué animal es?
Mi abuela Amanda
Mi abuela Amanda
Cuernos
Patas
Alas
"¿Adiós, querido chupete!"
Ojos
Caparazones
Colas
Orejas
Pieles
Dientes
El despertador de Jonás
Jonás tiene un problema muy gordo
SOS
JonÆs en apuros
La pena de Jonás
¿Quién teme a la enredadera?
¡Vamos todos a viajar!
Las 113000 envolturas del copo de nieve.
Kika Superbruja y sus bromas mágicas
Kika Superbruja en el Salvaje Oeste
Jonás y el frigorífico miedoso
Pablo y el habitante del desván
La montaña más bella
Pollita Pequeñita
Lily y su bolso de plástico morado
Colores que se aman
Desiderata
Los dos castillos
El mundo de José Jesús
La Noche de San Juan
Los divertidos líos de la noche
El cerezo del fondo del Mar
El caballito jorobado
El fantasma Pupas y otros cuentos
Viaje a la galaxia azul
Ríe y aprende con los gigantes
Bastián y la palabra mágica
El secreto del indio
Cuentos del cuervo de Arabel
El cuaderno de Luismi
Tinka
Juegos de fantasia
Tiempo de misterios
El cine de las sábanas blancas
El misterioso influjo de la barquillera
Fríndel
Los caballos de mi tío
La gran sequía
Ochir
La leyenda del viajero que no podía detenerse
Cuando Miguel no fue Miguel
Las botas rojas
Papá ¿qué es el racismo?
Una nariz muy larga
El loco de la ría
La casa del árbol
La gðndola fantasma
"Angel de la guarda, no me des la espalda"
El bellaco durmiente
Cuentos para todo el año
En el corazón del bosque
Las cosas de Berta
Orión y los animales magos
Días de clase
Palabras manzana
La señora Frisb y las ratas de  Nimh
Un viaje fantasma alrededor del mundo
De cómo la rueda empezó a rodar
Los Comienzos de la aviación
Las aventuras de Plimp y Plomp
El roble parlanchín
El inventor de galaxias /
La Flauta mágica
Las historias del laurel Froilán
Las historias del ángel azul
Las historias de la hormiga Magdalena
Las Historias del gato Fungón
Las historias de la abeja Trahamunda
Las Historias del perro Perejil
Las historias del viejo caminante
Las historias de la dama blanca
Las historias de la golondrina Catuxa
Las historias del conejo Pejerto
Las historias del buho Gilberto
Las historias del cuco Bernardino
Escenarios fantásticos
Siete reporteros y un periódico
El crimen de la Hipotenusa
La Gitanilla
Tonico y el secreto de estado
Un agugero en la alambrada
El zarapito plateado
"De profesión, fantasma"
Mis primeras Leyendas de Béquer
Mi primer libro sobre Goya
Poemas para la paz
GOYA Y EL DOS DE MAYO
El Palacio de los tres ojos
Los secretos de la gata Nieva
El  inventor de excusas
El marino de Cartagena
"Dragón, dragón y otros cuentos"
Aventuras con Tito Paco
El Bordón y la estrella
Dardo y Huracán
El misterio del león de piedra
El Ingenioso hidalgo Don Quijote de la Mancha.(teatro)
La  Isla del Tesoro
Un Capitán de  Quince Años
Aventuras de Huck Finn
Hombrecitos
Los Tres Mosqueteros
La Cabeza del Diáblo
La Montaña de Oro
Rosa en Flor
Antonio en el país del silencio
Formas
¡No funciona la tele!
Abuelo ¿dðnde estÆs?
Nela y el ratón Pérez
¡Todo me sirve!
El topo que quería saber quién se había hecho aquello en su cabeza
"¡Vuela, pequeño panda!"
Alex y la gota
Mis amigos de la granja
Alex y el sandwich
Alex hace limpieza
Sonidos
"¡Al cole, Carita Sucia!"
El puente
El Premio
"¡Mesa, trágame!"
"Matilde, la Gallina de Circo"
La Mariposa Dorada
Por el Mar de las Antillas anda un barco de papel
Toribio y el sombrero mágico
El Dragón Tragón
Navidad en la Luna
La Momia  tiene Catarro
Mazapán
Candelaria
La visita de Osito
El cumpleaños de Tejón
La rebelión de las lavanderas
Los cazadores de monstruos
YUYO el niño que no podía llorar
EL GRAN LIBRO VERDE
Totó ordena su cuarto
EL muro y la salamanquesa
El fantasma del desván
Pan Patapán
Clemente y el  orden
"Lito,cabeza de chorlito"
Los ladrones de madera
Si Sofía...
El guardabosque fuma demasiádo
El viáje en caracola
Las zanahorias del tío Benito
El gato está llorando
La gallina de la pata de palo
Suca
El viaje de Babar
Cuando todo pasa volando
El tigre
Los Melops se lanzan a volar
Elías  Galimatías y Elisa Ropalisa
Mi amiga la señora mayor
La nutria
El panda
Totó se baña
Martín y las galletas de coco
NOMO NEMI Portero del Gran Bosque Verde
Tu Cuerpo
Filemón el Arrugado
El ratón del hocico sin afilar
Mi hermana Clara y tiburón
Mi hermana Clara y la gran excursión
La golondrina de la suerte y otros cuentos
Gatos y ratones /
El elixir de la buena suerte
Paniplús el elefante /
La gallina Mina que viene de China y los canguros
La gallina Mina que viene de China y las ardillas
La gallina Mina que viene de China y los osos
Las wambas mágicas
El libro del espacio
Selvas tropicales
Reptiles
El agua
Tras la pista de los mamíferos
El planeta de las plantas
El cuerpo humano
Egipto
Océanos
DINOSAURIOS
Mi primera Enciclopedia Ilustrada
Mi primera enciclopedia de animales
El  Arca de los Cuentos
El Anillo de los cuentos
Hansel y Gretel (La casita de chocolate)
El Quijote contado a los niños
El gentil dragón rojo
Tommy y el elefante
El pirata honrado
Una feliz catástrofe
Mientras TIM juega en el puerto
EL CUERPO HUMANO
El rey gruñón y otros cuentos
Tres vueltas al planeta
Nikita el gato jugetón
Las liebres pequeñas juegan y crecen
La princesa bromista
La Máquina de la Naturaleza
Si yo tuviera una mascota
PINGUS Y EL CASTAÑO
JONÁS Y EL BOSQUE DESAPARECIDO
El escarabajo de la  Rosa
LAS GAFAS MARAVILLOSAS
La Canción más bonita
TRUBLOFF  el ratón que quería tocar la balalaica
!COMO BRILLA EL MAR¡
Girasol
Amadeus
Nadarín
El Caballo fantástico
El regalo del César
El jardín de la bruja
LAS TRES PLUMAS
GUILLERMO UN RATÓN DE BIBLIOTECA
La Bella Durmiente
Historia del papel
El arroz
Cocodrilos y caimanes
Los tuareg
Por la vía iba un tren
"No llores, Miguel"
¿Quién llegará primero?
¡Qué manzana más bonita!
Concierto de gatos
Teo en la feria
Chocolatoski
Violeta y el portugués misterioso
La maravillosa medicina de Jorge
El pequeño Nicolás
Los cretinos
Cuando fui grumete
"Petah, cara de lechuza"
Chocolatoski
Viaje a la isla de los milagros
Stuart Little
Ben quiere a Anna
Vuelven los Piratas
Querido hijo: estás despedido
Un chico demasiado extraño
El camello de hojalata
Ulrico y la llave de oro
En la guarida secreta
El libro de los secretos
Las barbaridades de Bárbara
Las Brujas
Los recreos del pequeæo NicolÆs
El diario de Arturo
La Magia más poderosa
La conferencia de los animales
Los lagartijos
El pequeño vampiro
Los amiguetes del pequeño Nicolás
Los problemas del pequeño Nicolás
El mapa de los sueños
A rienda suelta
Chocolatoski
Mi amigo el Rey
La maravillosa medicina de Jorge
La aventura de las ballenas
La  magia más poderosa
Mendelson y las ratas
El periódico de Landry
Las brujas
El niño de palo de fuego
Piratas en la casa de al lado
Ben quiere a Anna
Asmir no quiere pistolas
El hombrecito vestido de gris y otros cuentos
"Querido hijo, estás despedido"
La abuela
La Tierra del Sol y la Luna
Gulliver en Liliput
Sopaboba
Querido Señor Henshaw
El caballo celoso
El diablo de la botella
Un brujo que embruja
Cuando sea Mayor
El guardián de Senderos
Viaje al País de los Cocólitos
!CARAMBA CON LOS AMIGOS¡
Traque tiene una hermanita
Los casos  del comisario Antonino
Cuando sea mayor
Pepo y el delfín rosa
Poli y la bruja majadera
Alas de mosca para Ángel
Elecciones en Zoolandia
Versos tradicionales para cebollitas
Canciones para mirar
Zoo Loco
Tutú Marambá
El dragón herido
La Selva de los números
Escenarios fantásticos
EL LARGO VERANO DE  EUGENIA MESTRE
Oposiciones a bruja y otros cuentos
TARTESOS
CASCANUECES Y EL REY DE LOS RATONES
TOM SAWYER DETECTIVE
SHAKESPEARE
El lobo y los siete cabritillos
Cenicienta
El gato con botas
El mago de Oz
La Bella Durmiente
Alicia en el país de las maravillas
Caperucita Roja
Hansel  y Gretel
Blancanieves y los siete
La Sirenita
Peter Pan
Aladino y la lámpara maravillosa
Pinocho
Los tres cerditos
Simbad el  marino
Alí Babá y los cuarenta  ladrones
Cenicienta
La Bella Durmiente
El gato con botas
Alicia en el país de las maravillas
Caperucita Roja
Simbad el marino
El mago de Oz
Pinocho
La Sirenita
Hansel y Gretel
Alí Babá y los cuarenta ladrones
El lobo y los siete cabritillos
El 'Celeste'
La sombra de una noche
Timoteo va a la escuela
El héroe
El memoriápodo
Los casos del comisario Antonio
La Montaña de las tres cuevas
Jeremías en Sombralandia
Así es nuestro perro
Así son papá y mamá
Junie B. Jones es una bocazas
Junie B. Jones y la fiesta de pijamas
Junie B. Jones busca mascota
Junie B. Jones y el cumpleaños no muy feliz
Junie B. Jones y el autobús apestoso
Junie B. Jones  tiene un hermano monísimo
Junie B. Jones y Warren el superguapo
Junie B. Jones peluquera
Junie B. jones y el pastel peligroso
Junie B. Jones va de boda
Junie B. Jones es una espía
Junie B. Jones y el monstruo bajo la cama
Jnie B. Jones tiene un admirador secreto
Junie B. Jones capitana de su clase
Junie B. Jones no es una ladrona
El castillo de Roca Tacaña
¡Agarraos los bigotes...que llega Ratigoni!
El castillo de zampachicha miaumiau
El amor es como el queso
El fantasma del metro
El galeón de los gatos piratas
La sonrisa de Mona Ratisa
Un disparatado viaje a Ratikistán
En busca de la maravilla perdida
El misterioso manuscrito de Nostrarratus
"Mi nombre es Stilton, Geronimo Stilton"
Un regalo para Nimes
El camino del faro
¿Quieres ser el novio de mi hermana?
El último sordo
¿Quién ha raptado a Lánguida?
"¿Querías vacaciones, Stilton?"
¡Menudo canguelo en el Kilimanjaro!
¡Qué vacaciones tan superratónicas!
El misterio de la pirámide de queso
El extraño caso de la noche de Halloween
halloween ... ¡qué miedo!
¡Tontorratón quien llegue el último!
¡Un ratón educado no se tira ratopedos!
Paco y Álvaro se pelean
Tomás y la goma mágica
Constantino hace llover
La bruja Piruja
Tomás y el lápiz mágico
El árbol de los abuelos
Toño se queda solo
Javi y los leones
No se lo digas a nadie
Una bruja horriblemente guapa
El príncipe y el espejo
Andrea y el cuarto Rey Mago
Un móvil en el Polo Norte
Tomás y las tijeras mágicas
"Dominico, el dragón."
Amanda chocolate
La selva de Sara
El maravilloso puente de mi hermano
¿De dónde sale esta niña?
El regreso del monstruo peludo
Cariñoso bicho malo
El cartero que se convirtió en carta
Hormiguita negra
Sola y Sincola
Luna quiera un bebé
Gabriel y la isla azul
Rufo y Trufo cambian de casa
¡Sólo a mí me pasa!
La patulea de la reina
Nel pinta lo que quiere
Aventuras de Rufo y Trufo
LA VENGANZA DE LA  MOMIA ROJA
Las vacaciones del pequeño Nicolás
El pequeño Nicolás
El talismán que vino por el aire
Poesía española para niños
"El chico, el lobo, la oveja y la lechuga"
Thora y sus dos mundos
La cripta de los ovnis
El caldero negro
El castillo de Llyr
El gran rey
Tarán el errante
El dedo mágico
Un brujo que embruja
El extraño caso del niño insecto
El secuestro de la bibliotecaria
La estrella viajera
Tranquila Tragaleguas y otros cuentos
Los lunares de Renata
"Pinto, pinto gorgorito"
Un buen rato con cada plato
Ana Banana y yo
"Óscar, papá y el trampolín de tres metros"
Vamos a buscar un tesoro
El dragón y la mariposa
El secreto de Óscar
"Historia de Babar, el elefantito"
Una familia de ogros
El pirata metepatas
El cerdito azul
Una momia muy responsable
El vampiro debilucho
Un desastre de bruja
Caperucita Roja (tal como se lo contaron a Jorge)
"Rita, el hada desordenada"
"Ramiro, el príncipe miedoso"
"Eloísa, la princesa perezosa"
"Nicolás, el sabio mentirosillo"
"Simón, el duende caprichoso"
Los fantasmas buscan casa
La gallina Mina que viene de China y los gatos
"Marimar, la sirena gruñona"
La gallina Mina que viene de China y los elefantes
La gallina Mina que viene de China y los monos
Egipto
OCÉANOS
SELVAS
DINOSAURIOS Y REPTILES PREHISTÓRICOS
MIS CUENTOS INFANTILES
Mis primeros colores
Mis primeros números
Mis primeras palabras
Historias de conejos
Un hombrecillo en la caja de cigarrillos
¡Devolvedme mis piójos!
Lección de sueños para un Lirón
"RODRIGO, un caballero de leyenda"
VIAJE SUBMARINO
La zarevna muerta y los siete guerreros
A bordo de la lanzadera  espacial
EL HECHICERO
El país de los helados
ÁLBUM VISUAL DEL AGUA
El ciruelo
Rizos de Oro y los tres osos
El astuto Tao
Benito encuentra un hogar
El niño que tenía dos ojos
El pueblo que se quedó sin niños
El saco de desaparecer
Las mil y una barbas
El viaje de nunca acabar
"Despierta, oso... !es Navidad!"
SÉCAME LOS PLATOS
El huevo más bonio del mundo
Ricardo
El zapatero que quiso ser rico
La historia de Luciano
Oso Mimoso
Rodolfo
"!Ven deprisa, abuela!"
Así son los abuelos que viven cerca
Cuánto cuenta un elefante
Así son los tíos
Así son los abuelos que viven lejos
Mi profesor es el Yeti
Mi profesor es el Yeti
La visita
La manta de Guillermina
El rey que no creía en los cuentos de hadas
!Quizá sea un monstruo!
El gallo y la gallina van a ser reyes.
Lucas y Virginia
El despertador
Una noche sin dormir
Así somos nosotros
Así pasamos el día
Rodolfo y la bestia monstruosa
Así es nuestra casa
"!Julieta, estate quieta!"
Simón el lirón
Papá es un ogro
La tienda de los ratones
El señor empaste y el monstruo de los mil dientes
El pirata que quiso capturar la luna
El disparate pirata
!Qué risa de huesos!
El secuestro de la Bibliotecaria
La bruja Mon
El zoo de Sebastián
Los niños que no tenían escuelas.
Betania
El caballito que quería volar
Juanete y las res blsas de oro.
Yo soy el azul
La conejita Marcela
Nuestro Barrio el Tesoro
Nuestro Barrio el Perro perdido
Nuestro Barrio La Tormente
Historia de la nube que era amiga de una niña
No nos podemos dormir
La noche después de Navidad
¿A dónde van los milanos?
Una pesadilla en mi armario
César y Ernestina. El susto.
Buenas noches Topolín
Rodolfo y el cumpleaños de Susi
Osito Pardo quiere que le hagan caso
Osito Pardo quiere estar limpio
Bolita
Una Semana muy larga
Caramelo va de paseo
Mar Martí el conejo
Erase una vez dos osos
"Ahora no, Fernando"
La ciudad de la lluvia
Los Melops encuentran petróleo
Papá oso vuelve a casa
Rufus
Jorge y Marta
Totó hace un pastel
La noche
La oruga
El conejo
Totó construyó su casa
Totó se viste
Totó es pequeño
Cuando llega la noche
Sésamo
El gentil dragón rojo
Los cuentos de Ole Luk Öje
Dudú y Pepé
Ferdinando el toro
Monty
"Iván, Diván y Zarimán"
Harquín el zorro que bajó al valle
Garbancito
Florián y el tractor Max
La playa de las conchas rosas
Miguel y la lluvia
La isla de la bruma
"Lo dicho, dicho está"
El Robot y la Luna
La paloma del tío Pascual
La noche de los animales
La vidriera
Mi terrible primo Norberto
La ravesía del Atl.antico a remo.
La rana del tintero
La mata de escarabajos
No quiero el osito
Si tienes un pincel
Nina y Rody en la Nieve
La ciudad de la lluvia
Grandes y pequeños animales
Animales de la selva
Animales del campo
El silbo del aire
Tras los pasos del Cid
Aprendo mil palabras en español -inglés
Aprendo mil palabras en español-inglés
El saltamontes verde
Las montañas
La cuerda floja
El León de Tom
El hombre que plantaba árboles
Asesinato en el 'Canadian Express'
La gran sequía
Un vikingo en el jardín
¡Casi medio año!
El monstruo de la oscuridad
La batalla de los árboles
Operación 'Fuga de cerebros'
Mi hermana Clara y el Angel de la Guarda
"Óscar, papá y el trampolín de tres metros"
"Alex, Luisito el Osito y un montón de huevos fritos"
Camila de mil amores
Un baúl lleno de piratas
Tere Tararea hace piruetas
Lidia y yo no somos miedosos
El oso que no lo era
Camila y el abuelo pastelero
Los mejores amigos
"Leo, Zac y Emi"
Mi hermana Clara y el ratón de regalo
Alex ordena sus libros
Mi hermana Clara y el dichoso dinero
Ana Banana y yo
Seis ratones y seis lechuzas
Los duendes y la manzana
Cuándo llegará mi cumpleaños?
Cuánto me quieren!
No tengo sueño!
Los bigotes de chocolate
"¿Raro, yo?"
Mira cómo he crecido
Peluso y la Cometa
El mejor novio del mundo
Angelita la ballena pequeñita
Zaranda
El reino del revés
Un pato en la corte del rey Arturo
El maravilloso mundo de los gnomos. Tomo 7
El maravilloso mundo de los gnomos. Tomo 8
